mmsi,latitude_deg,longitude_deg,utc_s,ground_ms,azimuth_deg,valid,datetime,speed_knots
ship_113,81.51287078857422,107.4613037109375,1738963905,7674,299.7996826171875,True,2025-02-07 21:31:45,14.92
ship_113,79.2204818725586,28.76742553710937,1738964119,7674,223.5802154541016,True,2025-02-07 21:35:19,14.92
ship_113,-16.904050827026367,-147.62081909179688,1739040030,7698,348.7599792480469,True,2025-02-08 18:40:30,14.96
ship_113,76.42754364013672,171.64901733398438,1739041531,7679,326.27960205078125,True,2025-02-08 19:05:31,14.93
ship_113,80.67692565917969,67.51626586914062,1739043400,7672,232.3851318359375,True,2025-02-08 19:36:40,14.91
ship_113,79.2652816772461,64.42610168457031,1739128412,7674,223.7816925048828,True,2025-02-09 19:13:32,14.92
ship_113,77.61418914794922,-179.50242614746094,1739211331,7679,322.806884765625,True,2025-02-10 18:15:31,14.93
ship_113,82.66455841064453,119.05858612060548,1739213241,7674,270.8335876464844,True,2025-02-10 18:47:21,14.92
ship_113,77.05461883544922,61.45783615112305,1739213455,7676,215.4464569091797,True,2025-02-10 18:50:55,14.92
ship_113,79.19894409179688,24.886743545532227,1739592661,7675,316.5585021972656,True,2025-02-15 04:11:01,14.92
ship_114,80.40013885498047,71.3635482788086,1738782776,7674,230.3599548339844,True,2025-02-05 19:12:56,14.92
ship_114,82.04484558105469,71.4262466430664,1738873375,7673,247.51275634765625,True,2025-02-06 20:22:55,14.92
ship_114,81.54432678222656,107.08582305908205,1738963906,7674,299.4365234375,True,2025-02-07 21:31:46,14.92
ship_114,79.1742935180664,28.533823013305664,1738964120,7674,223.3589782714844,True,2025-02-07 21:35:20,14.92
ship_114,-16.840717315673828,-147.63389587402344,1739040031,7698,348.76177978515625,True,2025-02-08 18:40:31,14.96
ship_114,76.48054504394531,171.49766540527344,1739041532,7679,326.14068603515625,True,2025-02-08 19:05:32,14.93
ship_114,80.6379623413086,67.2064208984375,1739043401,7672,232.0873107910156,True,2025-02-08 19:36:41,14.91
ship_114,81.5417709350586,142.59971618652344,1739128199,7674,299.5003356933594,True,2025-02-09 19:09:59,14.92
ship_114,79.21924591064453,64.19064331054688,1739128413,7674,223.55874633789065,True,2025-02-09 19:13:33,14.92
ship_114,77.6649398803711,-179.68280029296875,1739211332,7679,322.6383361816406,True,2025-02-10 18:15:32,14.93
ship_114,82.66521453857422,118.5602035522461,1739213242,7674,270.34765625,True,2025-02-10 18:47:22,14.92
ship_114,77.05461883544922,61.45783615112305,1739213456,7676,215.4464569091797,True,2025-02-10 18:50:56,14.92
ship_114,79.2450942993164,24.652240753173828,1739592662,7675,316.33624267578125,True,2025-02-15 04:11:02,14.92
ship_115,80.35942077636719,71.07093811035156,1738782777,7674,230.0797271728516,True,2025-02-05 19:12:57,14.92
ship_115,82.02030181884766,71.00274658203125,1738873376,7673,247.10137939453125,True,2025-02-06 20:22:56,14.92
ship_115,74.57769012451172,146.32298278808594,1738962265,7679,330.4053649902344,True,2025-02-07 21:04:25,14.93
ship_115,81.5754165649414,106.7076187133789,1738963907,7674,299.0705871582031,True,2025-02-07 21:31:47,14.92
ship_115,79.12793731689453,28.302146911621094,1738964121,7674,223.1397247314453,True,2025-02-07 21:35:21,14.92
ship_115,-16.777381896972656,-147.64697265625,1739040032,7698,348.76287841796875,True,2025-02-08 18:40:32,14.96
ship_115,76.53345489501953,171.34518432617188,1739041533,7679,326.00030517578125,True,2025-02-08 19:05:33,14.93
ship_115,80.5987319946289,66.89911651611328,1739043402,7672,231.79156494140625,True,2025-02-08 19:36:42,14.91
ship_115,81.57292938232422,142.22181701660156,1739128200,7674,299.134765625,True,2025-02-09 19:10:00,14.92
ship_115,79.17303466796875,63.95713424682617,1739128414,7674,223.3375396728516,True,2025-02-09 19:13:34,14.92
ship_115,77.71556854248047,-179.86460876464844,1739211333,7679,322.46881103515625,True,2025-02-10 18:15:33,14.93
ship_115,82.66534423828125,118.06175994873048,1739213243,7674,269.8615417480469,True,2025-02-10 18:47:23,14.92
ship_115,77.05461883544922,61.45783615112305,1739213457,7676,215.4464569091797,True,2025-02-10 18:50:57,14.92
ship_115,79.29106140136719,24.415775299072266,1739592663,7675,316.1121826171875,True,2025-02-15 04:11:03,14.92
ship_116,80.31846618652344,70.78073120117188,1738782778,7674,229.8018798828125,True,2025-02-05 19:12:58,14.92
ship_116,81.99534606933594,70.58182525634766,1738873377,7673,246.6931304931641,True,2025-02-06 20:22:57,14.92
ship_116,74.63312530517578,146.20420837402344,1738962266,7679,330.2989501953125,True,2025-02-07 21:04:26,14.93
ship_116,81.60617065429688,106.32666015625,1738963908,7674,298.7021789550781,True,2025-02-07 21:31:48,14.92
ship_116,79.08140563964844,28.072383880615234,1738964122,7674,222.9221649169922,True,2025-02-07 21:35:22,14.92
ship_116,-16.714048385620117,-147.6600341796875,1739040033,7698,348.7644958496094,True,2025-02-08 18:40:33,14.96
ship_116,76.5862808227539,171.19154357910156,1739041534,7679,325.8591003417969,True,2025-02-08 19:05:34,14.93
ship_116,80.55924224853516,66.59427642822266,1739043403,7673,231.50027465820312,True,2025-02-08 19:36:43,14.92
ship_116,81.60374450683594,141.8411865234375,1739128201,7674,298.7666015625,True,2025-02-09 19:10:01,14.92
ship_116,79.12664794921875,63.72555160522461,1739128415,7674,223.11831665039065,True,2025-02-09 19:13:35,14.92
ship_116,77.7660903930664,179.9521484375,1739211334,7679,322.2985534667969,True,2025-02-10 18:15:34,14.93
ship_116,82.66492462158203,117.56334686279295,1739213244,7674,269.37567138671875,True,2025-02-10 18:47:24,14.92
ship_116,77.05461883544922,61.45783615112305,1739213458,7676,215.4464569091797,True,2025-02-10 18:50:58,14.92
ship_116,79.33686065673828,24.17733764648437,1739592664,7675,315.8860168457031,True,2025-02-15 04:11:04,14.92
ship_117,80.27728271484375,70.492919921875,1738782779,7674,229.5264587402344,True,2025-02-05 19:12:59,14.92
ship_117,81.96996307373047,70.16349029541016,1738873378,7673,246.2872772216797,True,2025-02-06 20:22:58,14.92
ship_117,74.68849182128906,146.08460998535156,1738962267,7679,330.1916198730469,True,2025-02-07 21:04:27,14.93
ship_117,81.63655853271484,105.94300079345705,1738963909,7674,298.3307800292969,True,2025-02-07 21:31:49,14.92
ship_117,79.03471374511719,27.844512939453125,1738964123,7674,222.70664978027344,True,2025-02-07 21:35:23,14.92
ship_117,-16.650711059570312,-147.67311096191406,1739040034,7698,348.7657165527344,True,2025-02-08 18:40:34,14.96
ship_117,76.63902282714844,171.03675842285156,1739041535,7679,325.7166748046875,True,2025-02-08 19:05:35,14.93
ship_117,80.5195083618164,66.29188537597656,1739043404,7674,231.2110290527344,True,2025-02-08 19:36:44,14.92
ship_117,81.63418579101562,141.45782470703125,1739128202,7674,298.39556884765625,True,2025-02-09 19:10:02,14.92
ship_117,79.0801010131836,63.49587631225586,1739128416,7674,222.9010009765625,True,2025-02-09 19:13:36,14.92
ship_117,77.81649017333984,179.7674560546875,1739211335,7679,322.1258239746094,True,2025-02-10 18:15:35,14.93
ship_117,82.6639633178711,117.06501770019533,1739213245,7674,268.8895874023437,True,2025-02-10 18:47:25,14.92
ship_117,77.05461883544922,61.45783615112305,1739213459,7676,215.4464569091797,True,2025-02-10 18:50:59,14.92
ship_117,79.38248443603516,23.93690490722656,1739592665,7675,315.6580505371094,True,2025-02-15 04:11:05,14.92
ship_118,80.2358627319336,70.20748901367188,1738782780,7673,229.2534942626953,True,2025-02-05 19:13:00,14.92
ship_118,81.94417572021484,69.74777221679688,1738873379,7673,245.8836669921875,True,2025-02-06 20:22:59,14.92
ship_118,74.74381256103516,145.96420288085938,1738962268,7679,330.0835266113281,True,2025-02-07 21:04:28,14.93
ship_118,81.66657257080078,105.55657958984376,1738963910,7674,297.9565124511719,True,2025-02-07 21:31:50,14.92
ship_118,78.98786926269531,27.618518829345703,1738964124,7674,222.4929962158203,True,2025-02-07 21:35:24,14.92
ship_118,-16.58737564086914,-147.6861572265625,1739040035,7698,348.7671813964844,True,2025-02-08 18:40:35,14.96
ship_118,76.6916732788086,170.8807830810547,1739041536,7679,325.57293701171875,True,2025-02-08 19:05:36,14.93
ship_118,80.4795150756836,65.99199676513672,1739043405,7673,230.92312622070312,True,2025-02-08 19:36:45,14.92
ship_118,81.66426849365234,141.07171630859375,1739128203,7674,298.0217590332031,True,2025-02-09 19:10:03,14.92
ship_118,79.03338623046875,63.26810073852539,1739128417,7674,222.68560791015625,True,2025-02-09 19:13:37,14.92
ship_118,77.86677551269531,179.5812530517578,1739211336,7679,321.95166015625,True,2025-02-10 18:15:36,14.93
ship_118,82.66246795654297,116.56686401367188,1739213246,7674,268.40399169921875,True,2025-02-10 18:47:26,14.92
ship_118,77.05461883544922,61.45783615112305,1739213460,7676,215.4464569091797,True,2025-02-10 18:51:00,14.92
ship_118,79.42792510986328,23.69446182250977,1739592666,7675,315.427734375,True,2025-02-15 04:11:06,14.92
ship_119,80.1942138671875,69.92440795898438,1738782781,7674,228.9827423095703,True,2025-02-05 19:13:01,14.92
ship_119,81.91797637939453,69.33468627929688,1738873380,7673,245.4829559326172,True,2025-02-06 20:23:00,14.92
ship_119,74.79905700683594,145.8429718017578,1738962269,7679,329.9745178222656,True,2025-02-07 21:04:29,14.93
ship_119,81.69622802734375,105.16744995117188,1738963911,7674,297.57977294921875,True,2025-02-07 21:31:51,14.92
ship_119,78.94084930419922,27.394384384155277,1738964125,7674,222.2811279296875,True,2025-02-07 21:35:25,14.92
ship_119,-16.524038314819336,-147.69920349121094,1739040036,7698,348.76837158203125,True,2025-02-08 18:40:36,14.96
ship_119,76.74422454833984,170.7236328125,1739041537,7679,325.42803955078125,True,2025-02-08 19:05:37,14.93
ship_119,80.43928527832031,65.69453430175781,1739043406,7674,230.63890075683597,True,2025-02-08 19:36:46,14.92
ship_119,81.69398498535156,140.68289184570312,1739128204,7674,297.6453552246094,True,2025-02-09 19:10:04,14.92
ship_119,78.98651885986328,63.04220199584961,1739128418,7674,222.47213745117188,True,2025-02-09 19:13:38,14.92
ship_119,77.91693115234375,179.3936004638672,1739211337,7679,321.7766418457031,True,2025-02-10 18:15:37,14.93
ship_119,82.66043090820312,116.06893157958984,1739213247,7674,267.9181823730469,True,2025-02-10 18:47:27,14.92
ship_119,77.05461883544922,61.45783615112305,1739213461,7676,215.4464569091797,True,2025-02-10 18:51:01,14.92
ship_119,79.47319030761719,23.449987411499023,1739592667,7675,315.19561767578125,True,2025-02-15 04:11:07,14.92
ship_120,80.15233612060547,69.6436767578125,1738782782,7674,228.71432495117188,True,2025-02-05 19:13:02,14.92
